id,name,category,description,attributes,information_score,created_at,updated_at
1,Item Smartwatch,electronics,Benefit response stock newspaper accept kitchen itself ball. Both then born region. As thousand although pressure.,"{""battery_life_hours"": 62}",2,2026-04-15 15:29:45.492299,2026-04-15 15:29:45.492306
2,With Smartwatch,electronics,Notice call room test. Himself cut image few important. Into against move room everything herself laugh call.,"{""battery_life_hours"": 65}",2,2026-04-15 15:29:45.492309,2026-04-15 15:29:45.492311
3,Success Smartwatch,electronics,Off lose forget move. Short word many gun. Industry with public ok that our.,"{""battery_life_hours"": 37}",1,2026-04-15 15:29:45.492313,2026-04-15 15:29:45.492315
4,Who Smartwatch,electronics,Born traditional himself help success. Claim director and information somebody Mr.,"{""battery_life_hours"": 64}",2,2026-04-15 15:29:45.492316,2026-04-15 15:29:45.492318
5,Past Smartwatch,electronics,"Field half bank moment generation exactly appear.
Compare go sure ahead. Loss energy worry budget record whom father.","{""battery_life_hours"": 24}",2,2026-04-15 15:29:45.492320,2026-04-15 15:29:45.492322
6,Budget Smartwatch,electronics,Loss benefit family ability. Later dream road else nothing. Teacher night perhaps.,"{""battery_life_hours"": 49}",2,2026-04-15 15:29:45.492324,2026-04-15 15:29:45.492325
7,Behavior Smartwatch,electronics,Improve state view. Police forget ask whom. Red pass change peace. Send away there oil range.,"{""battery_life_hours"": 36}",2,2026-04-15 15:29:45.492327,2026-04-15 15:29:45.492329
8,Table Smartwatch,electronics,Trade put ground. Anyone with involve possible part. Establish road only experience student media.,"{""battery_life_hours"": 49}",2,2026-04-15 15:29:45.492331,2026-04-15 15:29:45.492333
9,Go Smartwatch,electronics,Teacher month better together father training. Night manager job seem.,"{""battery_life_hours"": 41}",1,2026-04-15 15:29:45.492334,2026-04-15 15:29:45.492336
10,Example Smartwatch,electronics,Space range teacher discover pick. Event energy song decide share grow politics.,"{""battery_life_hours"": 19}",2,2026-04-15 15:29:45.492338,2026-04-15 15:29:45.492340
11,Culture,grocery,Choice day something here result brother little move must difficult laugh ask.,"{""is_gluten_free"": false, ""is_high_fiber"": true}",2,2026-04-15 15:29:45.492341,2026-04-15 15:29:45.492343
12,Yeah,grocery,Evening ground do store affect money service hot whom now career art two anyone try country police wonder media beat.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",3,2026-04-15 15:29:45.492345,2026-04-15 15:29:45.492347
13,Which,grocery,Order nature data finish through need wish contain specific.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",2,2026-04-15 15:29:45.492349,2026-04-15 15:29:45.492351
14,Major,grocery,Fact ten whatever artist stage case through specific human he the single contain.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",3,2026-04-15 15:29:45.492353,2026-04-15 15:29:45.492355
15,Building,grocery,Group place car management nature baby race professor large vote every people.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 15:29:45.492357,2026-04-15 15:29:45.492358
16,Could,grocery,Democratic machine time parent store sport identify lay yard everybody probably address really continue other meeting simply picture health.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 15:29:45.492360,2026-04-15 15:29:45.492362
17,Let,grocery,Coach red down among standard learn toward service decade travel.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 15:29:45.492364,2026-04-15 15:29:45.492366
18,Want,grocery,Respond difficult pay talk sport land during whether they production pretty ground election class me professional perhaps authority see family.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",3,2026-04-15 15:29:45.492368,2026-04-15 15:29:45.492370
19,Claim,grocery,Ok spring dark remain out response suddenly try true music clear travel.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 15:29:45.492372,2026-04-15 15:29:45.492373
20,Traditional,grocery,Technology yourself skill quite wide education issue against manage foreign draw identify live have.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",3,2026-04-15 15:29:45.492375,2026-04-15 15:29:45.492377
21,First,grocery,Kid necessary wonder figure front arrive turn my particular sound technology Congress bar language agreement.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 15:29:45.492379,2026-04-15 15:29:45.492380
22,Early,grocery,Space movie contain result treatment matter south material drop economy race individual serve process.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-15 15:29:45.492382,2026-04-15 15:29:45.492384
23,Our,grocery,Pattern data group already power majority least management style after within accept wonder allow very individual speak true glass respond.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",3,2026-04-15 15:29:45.492386,2026-04-15 15:29:45.492387
24,Professional,grocery,Play strategy result somebody general where man thank opportunity often toward.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-15 15:29:45.492389,2026-04-15 15:29:45.492391
25,Education,grocery,Animal keep conference include new number them us TV stuff alone keep base reach budget manage article laugh down pattern.,"{""is_gluten_free"": false, ""is_high_fiber"": true}",3,2026-04-15 15:29:45.492392,2026-04-15 15:29:45.492394
